,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Počet
platných
hlasov
spolu",Platné hlasy (počet / podiel),,,,,,,,,,,,,,,,,,,,,,,,,
,,,Zelení,KDH,SDĽ,SNS,OĽaNO,SaS,PaS,NÁŠ KRAJ,SZ,ĽSNS,SMER - SD,"Zmena zdola, DÚ",NaS - ns,KSS,SRÚS,MOST - HÍD,99%,ĽS - HZDS,+1 HLAS,SF,Obyčajní ľudia,SDKÚ - DS,SOSKA,SMK - MKP,SSS - NM,SŽS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"0,62","6,25","0,00","4,37","4,37","10,00","0,00","0,00","0,00","1,87","63,75","0,62","0,00","0,00","0,62","0,62","3,12","0,62","0,00","0,00","0,00","3,12","0,00","0,00","0,00","0,00"
Divina,,1 261,3,92,2,170,39,27,1,0,1,6,847,0,4,6,0,2,9,19,0,1,2,28,0,0,2,0
,,,"0,23","7,29","0,15","13,48","3,09","2,14","0,07","0,00","0,07","0,47","67,16","0,00","0,31","0,47","0,00","0,15","0,71","1,50","0,00","0,07","0,15","2,22","0,00","0,00","0,15","0,00"
Divinka,,513,3,25,0,72,38,19,1,1,1,3,289,2,0,1,0,9,4,3,0,1,1,34,2,0,2,2
,,,"0,58","4,87","0,00","14,03","7,40","3,70","0,19","0,19","0,19","0,58","56,33","0,38","0,00","0,19","0,00","1,75","0,77","0,58","0,00","0,19","0,19","6,62","0,38","0,00","0,38","0,38"
Dlhé Pole,,1 113,0,53,1,128,51,37,0,1,1,4,732,6,8,4,0,0,35,12,0,1,1,30,1,0,5,2
,,,"0,00","4,76","0,08","11,50","4,58","3,32","0,00","0,08","0,08","0,35","65,76","0,53","0,71","0,35","0,00","0,00","3,14","1,07","0,00","0,08","0,08","2,69","0,08","0,00","0,44","0,17"
Dolná Tižina,,656,0,87,0,49,25,13,1,0,1,3,448,7,5,2,0,2,4,2,0,1,1,4,0,0,1,0
,,,"0,00","13,26","0,00","7,46","3,81","1,98","0,15","0,00","0,15","0,45","68,29","1,06","0,76","0,30","0,00","0,30","0,60","0,30","0,00","0,15","0,15","0,60","0,00","0,00","0,15","0,00"
Dolný Hričov,,840,3,71,2,127,69,36,5,0,4,2,465,8,2,5,0,4,7,4,0,2,0,20,0,0,3,1
,,,"0,35","8,45","0,23","15,11","8,21","4,28","0,59","0,00","0,47","0,23","55,35","0,95","0,23","0,59","0,00","0,47","0,83","0,47","0,00","0,23","0,00","2,38","0,00","0,00","0,35","0,11"
Dolný Vadičov,,269,0,7,0,32,11,4,2,0,0,3,180,2,2,2,0,4,1,9,0,0,0,9,0,0,1,0
,,,"0,00","2,60","0,00","11,89","4,08","1,48","0,74","0,00","0,00","1,11","66,91","0,74","0,74","0,74","0,00","1,48","0,37","3,34","0,00","0,00","0,00","3,34","0,00","0,00","0,37","0,00"
Ďurčiná,,632,0,52,1,60,11,5,3,1,0,1,472,2,1,1,0,0,6,8,0,1,1,3,1,0,2,0
,,,"0,00","8,22","0,15","9,49","1,74","0,79","0,47","0,15","0,00","0,15","74,68","0,31","0,15","0,15","0,00","0,00","0,94","1,26","0,00","0,15","0,15","0,47","0,15","0,00","0,31","0,00"
Fačkov,,423,0,26,0,60,27,5,0,0,0,3,270,1,5,4,0,0,2,6,0,3,0,10,0,0,1,0
,,,"0,00","6,14","0,00","14,18","6,38","1,18","0,00","0,00","0,00","0,70","63,82","0,23","1,18","0,94","0,00","0,00","0,47","1,41","0,00","0,70","0,00","2,36","0,00","0,00","0,23","0,00"
Gbeľany,,666,3,62,0,61,87,33,4,0,3,9,343,12,5,5,1,2,2,1,0,2,1,24,0,0,5,1
,,,"0,45","9,30","0,00","9,15","13,06","4,95","0,60","0,00","0,45","1,35","51,50","1,80","0,75","0,75","0,15","0,30","0,30","0,15","0,00","0,30","0,15","3,60","0,00","0,00","0,75","0,15"
Hlboké nad Váhom,,554,1,27,1,188,11,10,4,0,0,5,284,0,8,1,0,1,2,5,0,0,0,4,1,0,1,0
,,,"0,18","4,87","0,18","33,93","1,98","1,80","0,72","0,00","0,00","0,90","51,26","0,00","1,44","0,18","0,00","0,18","0,36","0,90","0,00","0,00","0,00","0,72","0,18","0,00","0,18","0,00"
Horný Hričov,,446,0,23,0,48,28,25,0,0,1,2,266,2,2,0,0,4,4,4,0,2,0,28,2,0,4,1
,,,"0,00","5,15","0,00","10,76","6,27","5,60","0,00","0,00","0,22","0,44","59,64","0,44","0,44","0,00","0,00","0,89","0,89","0,89","0,00","0,44","0,00","6,27","0,44","0,00","0,89","0,22"
Horný Vadičov,,864,3,92,1,141,38,14,1,0,0,7,530,1,5,0,0,0,6,12,0,1,0,9,0,0,3,0
,,,"0,34","10,64","0,11","16,31","4,39","1,62","0,11","0,00","0,00","0,81","61,34","0,11","0,57","0,00","0,00","0,00","0,69","1,38","0,00","0,11","0,00","1,04","0,00","0,00","0,34","0,00"
Hôrky,,385,1,51,0,39,47,16,0,0,1,1,187,3,5,2,0,2,9,3,0,0,1,15,0,0,1,1
,,,"0,25","13,24","0,00","10,12","12,20","4,15","0,00","0,00","0,25","0,25","48,57","0,77","1,29","0,51","0,00","0,51","2,33","0,77","0,00","0,00","0,25","3,89","0,00","0,00","0,25","0,25"
Hričovské Podhradie,,221,0,7,0,56,11,1,0,0,0,0,129,1,1,5,0,0,0,3,0,0,0,0,4,0,3,0
,,,"0,00","3,16","0,00","25,33","4,97","0,45","0,00","0,00","0,00","0,00","58,37","0,45","0,45","2,26","0,00","0,00","0,00","1,35","0,00","0,00","0,00","0,00","1,80","0,00","1,35","0,00"
Hvozdnica,,600,0,71,0,100,33,5,1,0,1,1,359,4,3,1,0,2,3,4,0,1,0,2,4,0,1,4
,,,"0,00","11,83","0,00","16,66","5,50","0,83","0,16","0,00","0,16","0,16","59,83","0,66","0,50","0,16","0,00","0,33","0,50","0,66","0,00","0,16","0,00","0,33","0,66","0,00","0,16","0,66"
Jablonové,,511,2,78,0,99,23,4,0,0,1,0,290,1,2,5,0,0,0,0,0,2,0,3,1,0,0,0
,,,"0,39","15,26","0,00","19,37","4,50","0,78","0,00","0,00","0,19","0,00","56,75","0,19","0,39","0,97","0,00","0,00","0,00","0,00","0,00","0,39","0,00","0,58","0,19","0,00","0,00","0,00"
Jasenové,,328,1,23,0,32,16,6,0,0,1,2,216,4,6,3,0,3,8,0,0,0,0,6,0,0,1,0
,,,"0,30","7,01","0,00","9,75","4,87","1,82","0,00","0,00","0,30","0,60","65,85","1,21","1,82","0,91","0,00","0,91","2,43","0,00","0,00","0,00","0,00","1,82","0,00","0,00","0,30","0,00"
Kamenná Poruba,,1 084,0,85,0,148,69,28,4,0,1,17,653,9,17,5,0,3,6,10,0,6,1,16,0,0,6,0
,,,"0,00","7,84","0,00","13,65","6,36","2,58","0,36","0,00","0,09","1,56","60,23","0,83","1,56","0,46","0,00","0,27","0,55","0,92","0,00","0,55","0,09","1,47","0,00","0,00","0,55","0,00"
Kľače,,235,0,23,1,29,9,7,2,0,1,1,134,1,5,1,0,2,0,0,0,3,0,13,0,0,3,0
,,,"0,00","9,78","0,42","12,34","3,82","2,97","0,85","0,00","0,42","0,42","57,02","0,42","2,12","0,42","0,00","0,85","0,00","0,00","0,00","1,27","0,00","5,53","0,00","0,00","1,27","0,00"
Kolárovice,,972,1,57,0,153,24,7,1,0,1,3,674,3,6,7,0,1,6,7,1,0,2,17,0,0,1,0
,,,"0,10","5,86","0,00","15,74","2,46","0,72","0,10","0,00","0,10","0,30","69,34","0,30","0,61","0,72","0,00","0,10","0,61","0,72","0,10","0,00","0,20","1,74","0,00","0,00","0,10","0,00"
Konská,487830,884,1,77,0,91,64,34,1,0,3,6,543,6,5,4,0,2,13,14,0,1,3,10,0,0,6,0
,,,"0,11","8,71","0,00","10,29","7,23","3,84","0,11","0,00","0,33","0,67","61,42","0,67","0,56","0,45","0,00","0,22","1,47","1,58","0,00","0,11","0,33","1,13","0,00","0,00","0,67","0,00"
Kotešová,,976,0,63,0,147,62,24,0,0,3,3,598,6,5,8,0,8,12,3,0,2,1,27,1,0,3,0
,,,"0,00","6,45","0,00","15,06","6,35","2,45","0,00","0,00","0,30","0,30","61,27","0,61","0,51","0,81","0,00","0,81","1,22","0,30","0,00","0,20","0,10","2,76","0,10","0,00","0,30","0,00"
Kotrčiná Lúčka,,248,0,10,0,42,21,14,0,0,1,3,118,2,5,4,0,2,4,0,0,1,1,19,0,0,1,0
,,,"0,00","4,03","0,00","16,93","8,46","5,64","0,00","0,00","0,40","1,20","47,58","0,80","2,01","1,61","0,00","0,80","1,61","0,00","0,00","0,40","0,40","7,66","0,00","0,00","0,40","0,00"
Krasňany,,644,0,49,0,75,71,17,2,0,1,1,394,0,8,1,0,2,10,2,1,0,1,7,0,0,1,1
,,,"0,00","7,60","0,00","11,64","11,02","2,63","0,31","0,00","0,15","0,15","61,18","0,00","1,24","0,15","0,00","0,31","1,55","0,31","0,15","0,00","0,15","1,08","0,00","0,00","0,15","0,15"
Kunerad,,550,4,40,0,52,35,13,4,0,2,4,362,7,5,1,0,4,6,1,0,0,0,7,0,0,3,0
,,,"0,72","7,27","0,00","9,45","6,36","2,36","0,72","0,00","0,36","0,72","65,81","1,27","0,90","0,18","0,00","0,72","1,09","0,18","0,00","0,00","0,00","1,27","0,00","0,00","0,54","0,00"
Kysucké Nové Mesto,,8 089,11,460,4,758,534,346,20,1,14,122,5 071,52,72,35,1,65,93,46,1,21,16,271,9,0,59,7
,,,"0,13","5,68","0,04","9,37","6,60","4,27","0,24","0,01","0,17","1,50","62,69","0,64","0,89","0,43","0,01","0,80","1,14","0,56","0,01","0,25","0,19","3,35","0,11","0,00","0,72","0,08"
Kysucký Lieskovec,,1 248,2,87,0,123,54,26,2,0,4,9,835,9,11,6,0,13,11,19,0,3,0,25,2,0,7,0
,,,"0,16","6,97","0,00","9,85","4,32","2,08","0,16","0,00","0,32","0,72","66,90","0,72","0,88","0,48","0,00","1,04","0,88","1,52","0,00","0,24","0,00","2,00","0,16","0,00","0,56","0,00"
Lietava,,763,0,41,0,75,28,43,1,0,1,6,487,12,5,2,0,1,14,6,2,1,1,35,0,0,1,1
,,,"0,00","5,37","0,00","9,82","3,66","5,63","0,13","0,00","0,13","0,78","63,82","1,57","0,65","0,26","0,00","0,13","1,83","0,78","0,26","0,13","0,13","4,58","0,00","0,00","0,13","0,13"
Lietavská Lúčka,,1 025,0,92,1,129,56,64,3,0,0,8,574,6,4,13,0,12,10,5,0,1,1,42,0,0,2,2
,,,"0,00","8,97","0,09","12,58","5,46","6,24","0,29","0,00","0,00","0,78","56,00","0,58","0,39","1,26","0,00","1,17","0,97","0,48","0,00","0,09","0,09","4,09","0,00","0,00","0,19","0,19"
Lietavská Svinná - Babkov,,844,3,37,3,64,44,22,1,0,2,5,596,10,8,4,0,6,5,5,0,0,1,24,0,0,3,1
,,,"0,35","4,38","0,35","7,58","5,21","2,60","0,11","0,00","0,23","0,59","70,61","1,18","0,94","0,47","0,00","0,71","0,59","0,59","0,00","0,00","0,11","2,84","0,00","0,00","0,35","0,11"
Lodno,,501,2,27,1,70,19,12,0,0,0,7,325,2,2,3,0,0,3,19,1,1,0,4,0,1,2,0
,,,"0,39","5,38","0,19","13,97","3,79","2,39","0,00","0,00","0,00","1,39","64,87","0,39","0,39","0,59","0,00","0,00","0,59","3,79","0,19","0,19","0,00","0,79","0,00","0,19","0,39","0,00"
Lopušné Pažite,,261,0,17,0,27,13,2,0,1,1,3,167,1,7,1,0,1,6,4,0,1,0,6,0,0,2,1
,,,"0,00","6,51","0,00","10,34","4,98","0,76","0,00","0,38","0,38","1,14","63,98","0,38","2,68","0,38","0,00","0,38","2,29","1,53","0,00","0,38","0,00","2,29","0,00","0,00","0,76","0,38"
Lutiše,,389,0,28,0,82,17,9,0,0,1,1,232,3,1,5,0,0,3,1,0,0,0,5,0,0,1,0
,,,"0,00","7,19","0,00","21,07","4,37","2,31","0,00","0,00","0,25","0,25","59,64","0,77","0,25","1,28","0,00","0,00","0,77","0,25","0,00","0,00","0,00","1,28","0,00","0,00","0,25","0,00"
Lysica,,474,2,24,1,54,13,8,0,0,0,2,339,2,2,2,0,0,7,5,0,2,0,11,0,0,0,0
,,,"0,42","5,06","0,21","11,39","2,74","1,68","0,00","0,00","0,00","0,42","71,51","0,42","0,42","0,42","0,00","0,00","1,47","1,05","0,00","0,42","0,00","2,32","0,00","0,00","0,00","0,00"
Malá Čierna,,181,1,18,0,12,8,0,0,0,0,0,123,1,0,1,0,2,10,2,0,0,0,0,0,0,3,0
,,,"0,55","9,94","0,00","6,62","4,41","0,00","0,00","0,00","0,00","0,00","67,95","0,55","0,00","0,55","0,00","1,10","5,52","1,10","0,00","0,00","0,00","0,00","0,00","0,00","1,65","0,00"
Maršová - Rašov,,443,3,25,0,47,19,10,1,1,1,3,300,3,0,7,0,1,1,3,0,1,0,10,1,0,5,1
,,,"0,67","5,64","0,00","10,60","4,28","2,25","0,22","0,22","0,22","0,67","67,72","0,67","0,00","1,58","0,00","0,22","0,22","0,67","0,00","0,22","0,00","2,25","0,22","0,00","1,12","0,22"
Mojš,,402,0,44,0,32,45,26,2,0,0,7,205,1,0,2,0,4,6,5,0,0,0,21,0,0,1,1
,,,"0,00","10,94","0,00","7,96","11,19","6,46","0,49","0,00","0,00","1,74","50,99","0,24","0,00","0,49","0,00","0,99","1,49","1,24","0,00","0,00","0,00","5,22","0,00","0,00","0,24","0,24"
Nededza,,505,1,44,0,42,35,19,2,0,5,8,304,3,5,3,0,6,1,2,0,3,3,18,0,0,0,1
,,,"0,19","8,71","0,00","8,31","6,93","3,76","0,39","0,00","0,99","1,58","60,19","0,59","0,99","0,59","0,00","1,18","0,19","0,39","0,00","0,59","0,59","3,56","0,00","0,00","0,00","0,19"
Nesluša,,1 634,2,127,1,141,62,36,1,0,3,27,1 125,1,9,8,0,3,20,14,0,6,3,33,2,2,8,0
,,,"0,12","7,77","0,06","8,62","3,79","2,20","0,06","0,00","0,18","1,65","68,84","0,06","0,55","0,48","0,00","0,18","1,22","0,85","0,00","0,36","0,18","2,01","0,12","0,12","0,48","0,00"
Nezbudská Lúčka,,217,0,3,0,35,21,5,2,0,0,0,130,0,1,0,0,1,6,5,0,2,0,3,0,0,3,0
,,,"0,00","1,38","0,00","16,12","9,67","2,30","0,92","0,00","0,00","0,00","59,90","0,00","0,46","0,00","0,00","0,46","2,76","2,30","0,00","0,92","0,00","1,38","0,00","0,00","1,38","0,00"
Ochodnica,,1 065,1,66,0,126,55,21,5,1,2,9,684,6,7,13,0,7,19,13,0,4,1,13,2,0,9,1
,,,"0,09","6,19","0,00","11,83","5,16","1,97","0,46","0,09","0,18","0,84","64,22","0,56","0,65","1,22","0,00","0,65","1,78","1,22","0,00","0,37","0,09","1,22","0,18","0,00","0,84","0,09"
Ovčiarsko,,279,0,17,0,33,20,16,0,0,0,3,172,2,1,3,0,2,2,0,0,0,1,7,0,0,0,0
,,,"0,00","6,09","0,00","11,82","7,16","5,73","0,00","0,00","0,00","1,07","61,64","0,71","0,35","1,07","0,00","0,71","0,71","0,00","0,00","0,00","0,35","2,50","0,00","0,00","0,00","0,00"
Paština Závada,,117,0,8,0,23,0,1,0,0,2,1,73,0,0,0,0,0,4,1,0,0,3,1,0,0,0,0
,,,"0,00","6,83","0,00","19,65","0,00","0,85","0,00","0,00","1,70","0,85","62,39","0,00","0,00","0,00","0,00","0,00","3,41","0,85","0,00","0,00","2,56","0,85","0,00","0,00","0,00","0,00"
Petrovice,,785,1,25,0,155,20,20,0,0,1,3,492,4,5,4,0,5,14,7,0,0,0,21,1,0,7,0
,,,"0,12","3,18","0,00","19,74","2,54","2,54","0,00","0,00","0,12","0,38","62,67","0,50","0,63","0,50","0,00","0,63","1,78","0,89","0,00","0,00","0,00","2,67","0,12","0,00","0,89","0,00"
Podhorie,,469,0,28,0,52,23,28,1,0,0,6,311,0,0,0,0,3,1,1,0,0,0,11,0,0,3,1
,,,"0,00","5,97","0,00","11,08","4,90","5,97","0,21","0,00","0,00","1,27","66,31","0,00","0,00","0,00","0,00","0,63","0,21","0,21","0,00","0,00","0,00","2,34","0,00","0,00","0,63","0,21"
Porúbka,,271,0,15,1,29,11,12,3,0,0,8,169,0,1,1,0,1,6,1,0,2,0,9,0,0,0,2
,,,"0,00","5,53","0,36","10,70","4,05","4,42","1,10","0,00","0,00","2,95","62,36","0,00","0,36","0,36","0,00","0,36","2,21","0,36","0,00","0,73","0,00","3,32","0,00","0,00","0,00","0,73"
Povina,,587,1,30,0,47,23,13,0,0,0,9,423,0,1,2,0,0,10,5,0,0,3,16,1,0,3,0
,,,"0,17","5,11","0,00","8,00","3,91","2,21","0,00","0,00","0,00","1,53","72,06","0,00","0,17","0,34","0,00","0,00","1,70","0,85","0,00","0,00","0,51","2,72","0,17","0,00","0,51","0,00"
Predmier,,775,1,99,0,90,82,32,0,0,2,2,390,13,8,3,0,7,9,1,0,5,4,23,0,0,4,0
,,,"0,12","12,77","0,00","11,61","10,58","4,12","0,00","0,00","0,25","0,25","50,32","1,67","1,03","0,38","0,00","0,90","1,16","0,12","0,00","0,64","0,51","2,96","0,00","0,00","0,51","0,00"
Radoľa,,828,1,56,0,70,14,20,1,0,1,15,587,3,5,2,0,6,5,5,0,4,1,21,3,0,8,0
,,,"0,12","6,76","0,00","8,45","1,69","2,41","0,12","0,00","0,12","1,81","70,89","0,36","0,60","0,24","0,00","0,72","0,60","0,60","0,00","0,48","0,12","2,53","0,36","0,00","0,96","0,00"
Rajec,,3 197,6,403,2,280,243,126,8,0,10,26,1 816,26,30,13,0,27,31,9,0,19,1,99,0,0,19,3
,,,"0,18","12,60","0,06","8,75","7,60","3,94","0,25","0,00","0,31","0,81","56,80","0,81","0,93","0,40","0,00","0,84","0,96","0,28","0,00","0,59","0,03","3,09","0,00","0,00","0,59","0,09"
Rajecká Lesná,,653,0,64,0,71,35,11,4,0,0,21,411,8,4,3,0,0,7,3,0,1,0,7,1,0,2,0
,,,"0,00","9,80","0,00","10,87","5,35","1,68","0,61","0,00","0,00","3,21","62,94","1,22","0,61","0,45","0,00","0,00","1,07","0,45","0,00","0,15","0,00","1,07","0,15","0,00","0,30","0,00"
Rajecké Teplice,,1 701,4,210,0,133,172,105,4,0,4,16,863,21,13,3,0,31,17,4,0,2,2,85,0,0,8,4
,,,"0,23","12,34","0,00","7,81","10,11","6,17","0,23","0,00","0,23","0,94","50,73","1,23","0,76","0,17","0,00","1,82","0,99","0,23","0,00","0,11","0,11","4,99","0,00","0,00","0,47","0,23"
Rosina,,1 777,2,133,1,128,182,115,5,4,5,15,1 008,10,7,10,1,21,25,13,0,4,5,75,1,0,7,0
,,,"0,11","7,48","0,05","7,20","10,24","6,47","0,28","0,22","0,28","0,84","56,72","0,56","0,39","0,56","0,05","1,18","1,40","0,73","0,00","0,22","0,28","4,22","0,05","0,00","0,39","0,00"
Rudina,,825,2,34,1,62,49,18,0,0,3,13,578,4,8,5,0,4,13,10,0,0,2,16,0,0,2,1
,,,"0,24","4,12","0,12","7,51","5,93","2,18","0,00","0,00","0,36","1,57","70,06","0,48","0,96","0,60","0,00","0,48","1,57","1,21","0,00","0,00","0,24","1,93","0,00","0,00","0,24","0,12"
Rudinka,,220,0,18,0,20,18,6,2,0,0,3,135,0,1,0,0,4,2,1,0,0,0,9,0,0,1,0
,,,"0,00","8,18","0,00","9,09","8,18","2,72","0,90","0,00","0,00","1,36","61,36","0,00","0,45","0,00","0,00","1,81","0,90","0,45","0,00","0,00","0,00","4,09","0,00","0,00","0,45","0,00"
Rudinská,,489,1,27,0,55,14,7,0,0,0,3,359,0,3,1,0,2,5,1,0,0,1,6,0,0,2,2
,,,"0,20","5,52","0,00","11,24","2,86","1,43","0,00","0,00","0,00","0,61","73,41","0,00","0,61","0,20","0,00","0,40","1,02","0,20","0,00","0,00","0,20","1,22","0,00","0,00","0,40","0,40"
Snežnica,,592,2,56,1,145,12,17,2,0,0,2,315,2,2,7,0,11,1,1,0,0,1,15,0,0,0,0
,,,"0,33","9,45","0,16","24,49","2,02","2,87","0,33","0,00","0,00","0,33","53,20","0,33","0,33","1,18","0,00","1,85","0,16","0,16","0,00","0,00","0,16","2,53","0,00","0,00","0,00","0,00"
Stránske,,422,2,57,0,49,35,11,0,0,1,4,220,3,4,3,0,2,2,4,0,1,1,19,0,1,1,2
,,,"0,47","13,50","0,00","11,61","8,29","2,60","0,00","0,00","0,23","0,94","52,13","0,71","0,94","0,71","0,00","0,47","0,47","0,94","0,00","0,23","0,23","4,50","0,00","0,23","0,23","0,47"
Stráňavy,,1 085,3,42,0,130,57,40,1,0,3,8,706,9,7,7,1,8,8,6,0,6,4,29,1,0,8,1
,,,"0,27","3,87","0,00","11,98","5,25","3,68","0,09","0,00","0,27","0,73","65,06","0,82","0,64","0,64","0,09","0,73","0,73","0,55","0,00","0,55","0,36","2,67","0,09","0,00","0,73","0,09"
Stráža,,325,0,26,0,20,13,5,3,0,1,3,224,2,4,2,0,1,13,2,0,0,0,3,0,0,3,0
,,,"0,00","8,00","0,00","6,15","4,00","1,53","0,92","0,00","0,30","0,92","68,92","0,61","1,23","0,61","0,00","0,30","4,00","0,61","0,00","0,00","0,00","0,92","0,00","0,00","0,92","0,00"
Strečno,,1 465,1,113,1,120,130,61,5,0,1,14,844,10,10,2,2,7,12,14,0,5,8,97,0,0,6,2
,,,"0,06","7,71","0,06","8,19","8,87","4,16","0,34","0,00","0,06","0,95","57,61","0,68","0,68","0,13","0,13","0,47","0,81","0,95","0,00","0,34","0,54","6,62","0,00","0,00","0,40","0,13"
Súľov - Hradná,,594,0,9,2,166,19,24,1,0,3,2,307,0,6,13,0,6,9,2,0,5,0,18,0,0,2,0
,,,"0,00","1,51","0,33","27,94","3,19","4,04","0,16","0,00","0,50","0,33","51,68","0,00","1,01","2,18","0,00","1,01","1,51","0,33","0,00","0,84","0,00","3,03","0,00","0,00","0,33","0,00"
Svederník,,517,0,33,1,53,39,37,0,0,2,5,295,2,4,1,0,10,12,0,0,1,1,20,0,0,1,0
,,,"0,00","6,38","0,19","10,25","7,54","7,15","0,00","0,00","0,38","0,96","57,05","0,38","0,77","0,19","0,00","1,93","2,32","0,00","0,00","0,19","0,19","3,86","0,00","0,00","0,19","0,00"
Štiavnik,,2 004,2,189,3,279,93,28,9,0,3,9,1 275,3,10,15,0,0,21,16,2,4,1,32,0,0,7,3
,,,"0,09","9,43","0,14","13,92","4,64","1,39","0,44","0,00","0,14","0,44","63,62","0,14","0,49","0,74","0,00","0,00","1,04","0,79","0,09","0,19","0,04","1,59","0,00","0,00","0,34","0,14"
Šuja,,188,1,25,0,35,8,3,0,0,0,0,105,0,0,1,0,0,5,1,0,0,0,4,0,0,0,0
,,,"0,53","13,29","0,00","18,61","4,25","1,59","0,00","0,00","0,00","0,00","55,85","0,00","0,00","0,53","0,00","0,00","2,65","0,53","0,00","0,00","0,00","2,12","0,00","0,00","0,00","0,00"
Teplička nad Váhom,,2 035,5,321,2,172,215,83,7,0,5,13,959,24,24,10,0,14,46,28,0,15,5,79,0,0,7,1
,,,"0,24","15,77","0,09","8,45","10,56","4,07","0,34","0,00","0,24","0,63","47,12","1,17","1,17","0,49","0,00","0,68","2,26","1,37","0,00","0,73","0,24","3,88","0,00","0,00","0,34","0,04"
Terchová,,2 140,7,169,0,265,99,119,10,1,3,12,1 235,7,39,16,0,25,11,14,1,3,3,87,2,0,11,1
,,,"0,32","7,89","0,00","12,38","4,62","5,56","0,46","0,04","0,14","0,56","57,71","0,32","1,82","0,74","0,00","1,16","0,51","0,65","0,04","0,14","0,14","4,06","0,09","0,00","0,51","0,04"
Turie,,1 081,3,107,0,144,90,36,1,0,5,8,624,6,5,5,0,11,9,2,0,4,1,16,0,0,2,2
,,,"0,27","9,89","0,00","13,32","8,32","3,33","0,09","0,00","0,46","0,74","57,72","0,55","0,46","0,46","0,00","1,01","0,83","0,18","0,00","0,37","0,09","1,48","0,00","0,00","0,18","0,18"
Varín,,1 936,4,214,1,255,164,98,4,1,2,15,1 014,12,18,15,0,10,17,24,1,1,3,52,1,0,7,3
,,,"0,20","11,05","0,05","13,17","8,47","5,06","0,20","0,05","0,10","0,77","52,37","0,61","0,92","0,77","0,00","0,51","0,87","1,23","0,05","0,05","0,15","2,68","0,05","0,00","0,36","0,15"
Veľká Čierna,,223,0,22,0,25,3,4,0,0,1,5,151,1,1,0,0,0,1,1,0,1,0,6,0,0,0,1
,,,"0,00","9,86","0,00","11,21","1,34","1,79","0,00","0,00","0,44","2,24","67,71","0,44","0,44","0,00","0,00","0,00","0,44","0,44","0,00","0,44","0,00","2,69","0,00","0,00","0,00","0,44"
Veľké Rovné,,1 978,2,130,0,206,88,38,11,0,1,12,1 366,7,11,7,0,6,16,18,0,4,1,39,2,0,12,1
,,,"0,10","6,57","0,00","10,41","4,44","1,92","0,55","0,00","0,05","0,60","69,05","0,35","0,55","0,35","0,00","0,30","0,80","0,91","0,00","0,20","0,05","1,97","0,10","0,00","0,60","0,05"
Višňové,,1 585,2,97,0,105,131,76,5,1,6,5,1 025,18,8,5,0,11,13,14,2,1,1,53,0,0,5,1
,,,"0,12","6,11","0,00","6,62","8,26","4,79","0,31","0,06","0,37","0,31","64,66","1,13","0,50","0,31","0,00","0,69","0,82","0,88","0,12","0,06","0,06","3,34","0,00","0,00","0,31","0,06"
Zbyňov,,478,1,58,0,54,19,25,1,0,1,6,272,2,2,1,0,1,8,3,0,0,0,16,0,0,8,0
,,,"0,20","12,13","0,00","11,29","3,97","5,23","0,20","0,00","0,20","1,25","56,90","0,41","0,41","0,20","0,00","0,20","1,67","0,62","0,00","0,00","0,00","3,34","0,00","0,00","1,67","0,00"
Žilina,,43 871,107,3 475,24,3 977,5 352,3 771,162,11,185,410,19 443,575,326,253,7,991,494,262,12,170,81,3 371,33,12,322,45
,,,"0,24","7,92","0,05","9,06","12,19","8,59","0,36","0,02","0,42","0,93","44,31","1,31","0,74","0,57","0,01","2,25","1,12","0,59","0,02","0,38","0,18","7,68","0,07","0,02","0,73","0,10"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obvod Žilina,,117 805,225,9 373,68,12 654,9 883,6 379,364,26,334,1 050,64 293,1 043,877,664,14,1 476,1 341,809,24,350,186,5 489,84,17,674,108
,,,"0,19","7,95","0,05","10,74","8,38","5,41","0,30","0,02","0,28","0,89","54,57","0,88","0,74","0,56","0,01","1,25","1,13","0,68","0,02","0,29","0,15","4,65","0,07","0,01","0,57","0,09"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Počet
platných
hlasov
spolu",Platné hlasy (počet / podiel),,,,,,,,,,,,,,,,,,,,,,,,,
,,,Zelení,KDH,SDĽ,SNS,OĽaNO,SaS,PaS,NÁŠ KRAJ,SZ,ĽSNS,SMER - SD,"Zmena zdola, DÚ",NaS - ns,KSS,SRÚS,MOST - HÍD,99%,ĽS - HZDS,+1 HLAS,SF,Obyčajní ľudia,SDKÚ - DS,SOSKA,SMK - MKP,SSS - NM,SŽS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Badín,,951,0,66,2,35,152,79,8,0,5,19,396,13,7,9,1,25,23,2,0,3,0,89,8,2,4,3
,,,"0,00","6,94","0,21","3,68","15,98","8,30","0,84","0,00","0,52","1,99","41,64","1,36","0,73","0,94","0,10","2,62","2,41","0,21","0,00","0,31","0,00","9,35","0,84","0,21","0,42","0,31"
Baláže,,121,0,6,0,3,5,8,1,0,2,6,63,0,1,1,0,1,5,7,0,0,0,10,0,0,2,0
